text,category
BSNL Bill 2065,Bills
Transaction of 1313 at Myntra,Shopping
Transaction of 4722 at Pizza Hut,Food
Rs.439 debited for Gas Bill,Bills
₹1926 spent on Pizza Hut,Food
Paid Rs.781 to Water Bill,Bills
Transaction of 1661 at Max Healthcare,Health
Reliance Fresh 2370,Groceries
Rs.3043 debited for ATM Withdrawal,Other
Paid Rs.1054 to Udemy,Education
Paid Rs.4041 to Misc Payment,Other
BookMyShow 3851,Entertainment
Paid Rs.1532 to Amazon,Shopping
Rs.1482 debited for Water Bill,Bills
Paid Rs.3967 to More Supermarket,Groceries
Transaction of 3466 at BigBasket,Groceries
Rs.3055 debited for Redbus,Travel
BSNL Bill 3580,Bills
₹945 spent on IMPS Transfer,Transfer
Rs.2479 debited for Spencer's,Groceries
Paid Rs.712 to Pharmeasy,Health
Rs.4699 debited for Udemy,Education
Jio Postpaid 4866,Bills
Transaction of 3161 at Ola,Travel
Rs.2695 debited for WhiteHat Jr,Education
₹1272 spent on Pharmeasy,Health
₹4598 spent on Electricity Bill,Bills
Paid Rs.966 to Electricity Bill,Bills
₹2801 spent on Water Bill,Bills
₹4704 spent on Spotify,Entertainment
Rs.3562 debited for Swiggy,Food
Pharmeasy 4637,Health
KFC 3414,Food
Paid Rs.1983 to Unacademy,Education
Transaction of 2784 at edX,Education
Rs.2331 debited for Byju's,Education
Paid Rs.1097 to Netflix,Entertainment
Paid Rs.813 to DMart,Groceries
Paid Rs.1258 to Pizza Hut,Food
Transaction of 1161 at Netflix,Entertainment
Transaction of 1312 at Ajio,Shopping
Rs.4409 debited for NEFT Transfer,Transfer
Paid Rs.2495 to Reliance Fresh,Groceries
Paid Rs.1213 to IMPS Transfer,Transfer
Paid Rs.260 to TataCliq,Shopping
₹2367 spent on IMPS Transfer,Transfer
Nature's Basket 2018,Groceries
Cash Withdrawal 271,Other
Transaction of 3377 at Jio Postpaid,Bills
Transaction of 3055 at BigBasket,Groceries
₹214 spent on BSNL Bill,Bills
Paid Rs.836 to Max Healthcare,Health
Ajio 2647,Shopping
₹1626 spent on Cheque Deposit,Other
Transaction of 155 at DMart,Groceries
Fortis Hospital 1322,Health
Rs.1811 debited for Paytm,Transfer
Rs.2710 debited for Unknown Transaction,Other
₹3154 spent on Ajio,Shopping
₹2755 spent on Spencer's,Groceries
Transaction of 2744 at Disney Hotstar,Entertainment
₹3220 spent on Spencer's,Groceries
₹1026 spent on Max Healthcare,Health
Rs.3218 debited for Zee5,Entertainment
Transaction of 1701 at Google Pay,Transfer
Paid Rs.3377 to BSNL Bill,Bills
BookMyShow 4421,Entertainment
₹859 spent on Ajio,Shopping
BookMyShow 4163,Entertainment
Pizza Hut 3684,Food
Paid Rs.752 to Pizza Hut,Food
₹2380 spent on DMart,Groceries
Paid Rs.3633 to More Supermarket,Groceries
Flipkart 3450,Shopping
Transaction of 2681 at Dominos,Food
₹1790 spent on Jio Postpaid,Bills
Rs.2116 debited for Cafe Coffee Day,Food
Myntra 1234,Shopping
Paid Rs.212 to Zee5,Entertainment
Transaction of 2913 at Cash Withdrawal,Other
Paid Rs.103 to Rapido,Travel
₹1651 spent on Ajio,Shopping
Transaction of 3276 at Pharmeasy,Health
Zee5 2352,Entertainment
₹4253 spent on MedPlus,Health
Rs.588 debited for Ajio,Shopping
Paid Rs.2392 to Cafe Coffee Day,Food
Paid Rs.627 to PhonePe,Transfer
Ajio 2757,Shopping
Rs.2788 debited for Pizza Hut,Food
Paid Rs.1157 to Myntra,Shopping
Paid Rs.3225 to Misc Payment,Other
Paid Rs.1385 to Reliance Fresh,Groceries
Transaction of 472 at Unknown Transaction,Other
Transaction of 876 at Jio Postpaid,Bills
₹243 spent on BigBasket,Groceries
Paid Rs.3361 to Cheque Deposit,Other
Transaction of 646 at edX,Education
Paid Rs.480 to IRCTC,Travel
Cash Withdrawal 4333,Other
Paid Rs.4223 to McDonalds,Food
Water Bill 4185,Bills
Rs.3892 debited for BSNL Bill,Bills
Transaction of 2999 at SonyLiv,Entertainment
Transaction of 3822 at Redbus,Travel
Rapido 2069,Travel
Transaction of 1050 at Coursera,Education
Ola 2747,Travel
Rs.4816 debited for Electricity Bill,Bills
₹2747 spent on Max Healthcare,Health
BookMyShow 3791,Entertainment
₹4877 spent on Udemy,Education
Rs.3949 debited for Paytm,Transfer
Rs.2443 debited for Reliance Trends,Shopping
₹701 spent on BSNL Bill,Bills
Rs.2124 debited for Reliance Fresh,Groceries
Paid Rs.564 to Jio Postpaid,Bills
₹3414 spent on Rapido,Travel
₹2972 spent on Flipkart,Shopping
Transaction of 524 at IRCTC,Travel
Transaction of 1084 at Pizza Hut,Food
Transaction of 4180 at Unknown Transaction,Other
Rs.4372 debited for Zee5,Entertainment
Transaction of 2173 at PhonePe,Transfer
BookMyShow 2699,Entertainment
Paid Rs.852 to Jio Postpaid,Bills
Rs.2974 debited for Cash Withdrawal,Other
Transaction of 2139 at Cash Withdrawal,Other
Rs.1837 debited for Cash Withdrawal,Other
Paid Rs.2480 to Cash Withdrawal,Other
Transaction of 2936 at Spotify,Entertainment
Transaction of 3914 at BSNL Bill,Bills
Reliance Trends 4657,Shopping
Paid Rs.1474 to Nature's Basket,Groceries
₹4966 spent on Unknown Transaction,Other
Transaction of 1564 at UPI Transfer,Transfer
Rs.2515 debited for Google Pay,Transfer
Rs.2757 debited for KFC,Food
Paid Rs.4477 to MakeMyTrip,Travel
Rs.4677 debited for Unacademy,Education
Fortis Hospital 2258,Health
Paid Rs.457 to SonyLiv,Entertainment
Unknown Transaction 2552,Other
Rs.1134 debited for IMPS Transfer,Transfer
Paid Rs.662 to MedPlus,Health
Jio Postpaid 1004,Bills
Rs.2319 debited for Uber,Travel
Paid Rs.4097 to Flipkart,Shopping
Paid Rs.1321 to Uber,Travel
Rs.2819 debited for Cafe Coffee Day,Food
Paid Rs.3229 to Pizza Hut,Food
Paid Rs.2624 to MakeMyTrip,Travel
Rs.114 debited for MedPlus,Health
Transaction of 333 at Indigo Airlines,Travel
₹4841 spent on Ajio,Shopping
Apollo Pharmacy 812,Health
Cash Withdrawal 1501,Other
Paid Rs.1809 to Pizza Hut,Food
